course_id,course_name,region,date,tee_time,day_of_week,is_weekend,price_18_holes,price_9_holes,spots_available,is_available,days_until,weather_conditions,high_temp_f,precip_chance_pct
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,07:00,Wednesday,False,47,26,2,True,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,07:10,Wednesday,False,47,26,0,False,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,07:20,Wednesday,False,48,27,3,True,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,07:30,Wednesday,False,49,27,0,False,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,07:38,Wednesday,False,49,26,0,False,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,07:48,Wednesday,False,51,27,0,False,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,07:58,Wednesday,False,47,26,4,True,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,08:06,Wednesday,False,48,26,1,True,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,08:16,Wednesday,False,49,27,4,True,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,08:24,Wednesday,False,48,26,4,True,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,08:34,Wednesday,False,46,26,1,True,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,08:44,Wednesday,False,49,27,4,True,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,08:54,Wednesday,False,46,27,2,True,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,09:04,Wednesday,False,48,26,1,True,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,09:14,Wednesday,False,48,27,3,True,0,Partly Cloudy,60.5,21
cherokee_run,Cherokee Run Golf Club,East Atlanta,2026-02-11,09:22,Wednesday,False,46,27,4,True,0,Partly Cloudy,60.5,21
